Community Name,Crime Category,Number of Records,Year,Incidents
OAKRIDGE,Commercial Break & Enter,1,2015,2
PENBROOKE MEADOWS,Commercial Break & Enter,1,2015,15
SADDLE RIDGE INDUSTRIAL,Commercial Break & Enter,1,2015,12
SECTION 23,Commercial Break & Enter,1,2015,21
SILVERADO,Commercial Break & Enter,1,2015,6
STARFIELD,Commercial Break & Enter,1,2015,18
UNIVERSITY OF CALGARY,Commercial Break & Enter,1,2015,4
WEST SPRINGS,Commercial Break & Enter,1,2015,5
BANKVIEW,Commercial Break & Enter,1,2015,21
CANADA OLYMPIC PARK,Commercial Break & Enter,1,2015,14
EASTFIELD,Commercial Break & Enter,1,2015,9
EAU CLAIRE,Commercial Break & Enter,1,2015,19
FOREST HEIGHTS,Commercial Break & Enter,1,2015,20
DALHOUSIE,Commercial Break & Enter,1,2015,10
DOVER,Commercial Break & Enter,1,2015,18
DOWNTOWN WEST END,Commercial Break & Enter,1,2015,14
EVERGREEN,Commercial Break & Enter,1,2015,4
HAYSBORO,Commercial Break & Enter,1,2015,22
NEW BRIGHTON,Commercial Break & Enter,1,2015,5
OGDEN,Commercial Break & Enter,1,2015,12
SIGNAL HILL,Commercial Break & Enter,1,2015,19
SOUTHWOOD,Commercial Break & Enter,1,2015,10
VARSITY,Commercial Break & Enter,1,2015,21
WEST HILLHURST,Commercial Break & Enter,1,2015,24
WINDSOR PARK,Commercial Break & Enter,1,2015,10
WINSTON HEIGHTS/MOUNTVIEW,Commercial Break & Enter,1,2015,17
ALBERT PARK/RADISSON HEIGHTS,Commercial Break & Enter,1,2015,28
BANFF TRAIL,Commercial Break & Enter,1,2015,13
MCCALL,Commercial Break & Enter,1,2015,24
SOUTH CALGARY,Commercial Break & Enter,1,2015,21
WHITEHORN,Commercial Break & Enter,1,2015,17
HOUNSFIELD HEIGHTS/BRIAR HILL,Commercial Break & Enter,1,2015,12
MIDNAPORE,Commercial Break & Enter,1,2015,23
SOUTHVIEW,Commercial Break & Enter,1,2015,10
DEERFOOT BUSINESS CENTRE,Commercial Break & Enter,1,2015,6
FALCONRIDGE,Commercial Break & Enter,1,2015,39
FRANKLIN,Commercial Break & Enter,1,2015,15
GLAMORGAN,Commercial Break & Enter,1,2015,8
MANCHESTER,Commercial Break & Enter,1,2015,29
MERIDIAN,Commercial Break & Enter,1,2015,26
SHAWNESSY,Commercial Break & Enter,1,2015,6
STONEY 2,Commercial Break & Enter,1,2015,4
SUNALTA,Commercial Break & Enter,1,2015,26
SUNNYSIDE,Commercial Break & Enter,1,2015,16
EAST FAIRVIEW INDUSTRIAL,Commercial Break & Enter,1,2015,22
FAIRVIEW,Commercial Break & Enter,1,2015,33
HUNTINGTON HILLS,Commercial Break & Enter,1,2015,19
LOWER MOUNT ROYAL,Commercial Break & Enter,1,2015,32
MARLBOROUGH PARK,Commercial Break & Enter,1,2015,10
SHEPARD INDUSTRIAL,Commercial Break & Enter,1,2015,28
CLIFF BUNGALOW,Commercial Break & Enter,1,2015,11
HORIZON,Commercial Break & Enter,1,2015,35
ALTADORE,Commercial Break & Enter,1,2015,35
BURNS INDUSTRIAL,Commercial Break & Enter,1,2015,28
NORTH AIRWAYS,Commercial Break & Enter,1,2015,18
REDSTONE,Commercial Break & Enter,1,2015,2
ACADIA,Commercial Break & Enter,1,2015,19
ARBOUR LAKE,Commercial Break & Enter,1,2015,20
BRENTWOOD,Commercial Break & Enter,1,2015,21
CAPITOL HILL,Commercial Break & Enter,1,2015,15
GOLDEN TRIANGLE,Commercial Break & Enter,1,2015,17
GREAT PLAINS,Commercial Break & Enter,1,2015,27
THORNCLIFFE,Commercial Break & Enter,1,2015,44
BRIDGELAND/RIVERSIDE,Commercial Break & Enter,1,2015,46
GREENVIEW INDUSTRIAL PARK,Commercial Break & Enter,1,2015,24
RENFREW,Commercial Break & Enter,1,2015,32
KILLARNEY/GLENGARRY,Commercial Break & Enter,1,2015,25
MARLBOROUGH,Commercial Break & Enter,1,2015,16
MISSION,Commercial Break & Enter,1,2015,41
MOUNT PLEASANT,Commercial Break & Enter,1,2015,28
MCKENZIE TOWNE,Commercial Break & Enter,1,2015,15
CRANSTON,Commercial Break & Enter,1,2015,30
MONTGOMERY,Commercial Break & Enter,1,2015,21
FOREST LAWN INDUSTRIAL,Commercial Break & Enter,1,2015,54
SOUTH FOOTHILLS,Commercial Break & Enter,1,2015,38
FOREST LAWN,Commercial Break & Enter,1,2015,23
LAKE BONAVISTA,Commercial Break & Enter,1,2015,27
TUXEDO PARK,Commercial Break & Enter,1,2015,27
BOWNESS,Commercial Break & Enter,1,2015,19
AUBURN BAY,Commercial Break & Enter,1,2015,9
SUNRIDGE,Commercial Break & Enter,1,2015,51
WILLOW PARK,Commercial Break & Enter,1,2015,20
CRESCENT HEIGHTS,Commercial Break & Enter,1,2015,41
SOUTH AIRWAYS,Commercial Break & Enter,1,2015,33
CHINATOWN,Commercial Break & Enter,1,2015,9
EAST SHEPARD INDUSTRIAL,Commercial Break & Enter,1,2015,55
HIGHFIELD,Commercial Break & Enter,1,2015,50
EVANSTON,Commercial Break & Enter,1,2015,11
ALYTH/BONNYBROOK,Commercial Break & Enter,1,2015,41
HILLHURST,Commercial Break & Enter,1,2015,52
MANCHESTER INDUSTRIAL,Commercial Break & Enter,1,2015,89
FOOTHILLS,Commercial Break & Enter,1,2015,101
DOWNTOWN COMMERCIAL CORE,Commercial Break & Enter,1,2015,73
BELTLINE,Commercial Break & Enter,1,2015,171
CARRINGTON,Physical Disorder,1,2015,2
CFB - LINCOLN PARK PMQ,Physical Disorder,1,2015,4
CITYSCAPE,Physical Disorder,1,2015,1
GOLDEN TRIANGLE,Physical Disorder,1,2015,5
STONEGATE LANDING,Physical Disorder,1,2015,1
STONEY 3,Physical Disorder,1,2015,0
AURORA BUSINESS PARK,Physical Disorder,1,2015,11
LIVINGSTON,Physical Disorder,1,2015,0
MAYFAIR,Physical Disorder,1,2015,0
NOLAN HILL,Physical Disorder,1,2015,3
NORTH HAVEN UPPER,Physical Disorder,1,2015,5
PEGASUS,Physical Disorder,1,2015,3
POINT MCKAY,Physical Disorder,1,2015,4
SECTION 23,Physical Disorder,1,2015,4
BAYVIEW,Physical Disorder,1,2015,8
BEL-AIRE,Physical Disorder,1,2015,0
BONAVISTA DOWNS,Physical Disorder,1,2015,3
BRITANNIA,Physical Disorder,1,2015,6
DIAMOND COVE,Physical Disorder,1,2015,1
EAGLE RIDGE,Physical Disorder,1,2015,9
LEGACY,Physical Disorder,1,2015,6
QUEENS PARK VILLAGE,Physical Disorder,1,2015,7
SKYLINE EAST,Physical Disorder,1,2015,2
CRESTMONT,Physical Disorder,1,2015,1
EASTFIELD,Physical Disorder,1,2015,9
GREENWOOD/GREENBRIAR,Physical Disorder,1,2015,0
OGDEN SHOPS,Physical Disorder,1,2015,3
REDSTONE,Physical Disorder,1,2015,3
CANADA OLYMPIC PARK,Physical Disorder,1,2015,3
GLENDEER BUSINESS PARK,Physical Disorder,1,2015,2
RIDEAU PARK,Physical Disorder,1,2015,3
SETON,Physical Disorder,1,2015,12
STONEY 1,Physical Disorder,1,2015,6
CFB - CURRIE,Physical Disorder,1,2015,1
CHINOOK PARK,Physical Disorder,1,2015,4
CHRISTIE PARK,Physical Disorder,1,2015,6
MAHOGANY,Physical Disorder,1,2015,11
ROSEDALE,Physical Disorder,1,2015,11
ROSEMONT,Physical Disorder,1,2015,2
SCARBORO,Physical Disorder,1,2015,4
SKYLINE WEST,Physical Disorder,1,2015,4
WALDEN,Physical Disorder,1,2015,12
GREAT PLAINS,Physical Disorder,1,2015,12
HAMPTONS,Physical Disorder,1,2015,10
NOSE HILL PARK,Physical Disorder,1,2015,17
PUMP HILL,Physical Disorder,1,2015,4
SADDLE RIDGE INDUSTRIAL,Physical Disorder,1,2015,5
SCARBORO/ SUNALTA WEST,Physical Disorder,1,2015,10
SHERWOOD,Physical Disorder,1,2015,7
CAMBRIAN HEIGHTS,Physical Disorder,1,2015,8
COACH HILL,Physical Disorder,1,2015,6
COUGAR RIDGE,Physical Disorder,1,2015,13
RUTLAND PARK,Physical Disorder,1,2015,13
SAGE HILL,Physical Disorder,1,2015,7
STARFIELD,Physical Disorder,1,2015,2
FISH CREEK PARK,Physical Disorder,1,2015,14
GLENDALE,Physical Disorder,1,2015,18
KELVIN GROVE,Physical Disorder,1,2015,13
KINCORA,Physical Disorder,1,2015,15
PARKDALE,Physical Disorder,1,2015,6
PARKLAND,Physical Disorder,1,2015,11
ROXBORO,Physical Disorder,1,2015,3
ROYAL VISTA,Physical Disorder,1,2015,8
STONEY 4,Physical Disorder,1,2015,4
VALLEYFIELD,Physical Disorder,1,2015,13
WEST SPRINGS,Physical Disorder,1,2015,14
WESTGATE,Physical Disorder,1,2015,8
PALLISER,Physical Disorder,1,2015,12
SHAGANAPPI,Physical Disorder,1,2015,16
CHARLESWOOD,Physical Disorder,1,2015,16
DEERFOOT BUSINESS CENTRE,Physical Disorder,1,2015,19
MEADOWLARK PARK,Physical Disorder,1,2015,19
PARKHILL,Physical Disorder,1,2015,15
PATTERSON,Physical Disorder,1,2015,10
STONEY 2,Physical Disorder,1,2015,15
STRATHCONA PARK,Physical Disorder,1,2015,18
COUNTRY HILLS,Physical Disorder,1,2015,13
EAST FAIRVIEW INDUSTRIAL,Physical Disorder,1,2015,27
ERLTON,Physical Disorder,1,2015,16
HIGHWOOD,Physical Disorder,1,2015,16
SANDSTONE VALLEY,Physical Disorder,1,2015,31
SPRUCE CLIFF,Physical Disorder,1,2015,22
ELBOYA,Physical Disorder,1,2015,11
NORTH AIRWAYS,Physical Disorder,1,2015,8
NORTH HAVEN,Physical Disorder,1,2015,9
SKYVIEW RANCH,Physical Disorder,1,2015,17
ASPEN WOODS,Physical Disorder,1,2015,18
COLLINGWOOD,Physical Disorder,1,2015,8
GREENVIEW INDUSTRIAL PARK,Physical Disorder,1,2015,13
LINCOLN PARK,Physical Disorder,1,2015,11
MACEWAN GLEN,Physical Disorder,1,2015,12
UPPER MOUNT ROYAL,Physical Disorder,1,2015,23
VALLEY RIDGE,Physical Disorder,1,2015,13
AUBURN BAY,Physical Disorder,1,2015,30
GLENMORE PARK,Physical Disorder,1,2015,9
LAKEVIEW,Physical Disorder,1,2015,21
MAYLAND,Physical Disorder,1,2015,19
MERIDIAN,Physical Disorder,1,2015,21
NEW BRIGHTON,Physical Disorder,1,2015,29
OAKRIDGE,Physical Disorder,1,2015,22
RED CARPET,Physical Disorder,1,2015,21
SHAWNEE SLOPES,Physical Disorder,1,2015,10
SILVERADO,Physical Disorder,1,2015,8
UNIVERSITY HEIGHTS,Physical Disorder,1,2015,11
UNIVERSITY OF CALGARY,Physical Disorder,1,2015,11
DEER RIDGE,Physical Disorder,1,2015,27
MCCALL,Physical Disorder,1,2015,6
NORTH GLENMORE PARK,Physical Disorder,1,2015,18
SOUTH FOOTHILLS,Physical Disorder,1,2015,8
ST. ANDREWS HEIGHTS,Physical Disorder,1,2015,14
COPPERFIELD,Physical Disorder,1,2015,31
GREENVIEW,Physical Disorder,1,2015,15
MANCHESTER,Physical Disorder,1,2015,30
MAPLE RIDGE,Physical Disorder,1,2015,19
SCENIC ACRES,Physical Disorder,1,2015,18
WESTWINDS,Physical Disorder,1,2015,26
WILDWOOD,Physical Disorder,1,2015,20
DEER RUN,Physical Disorder,1,2015,25
DISCOVERY RIDGE,Physical Disorder,1,2015,7
EAST SHEPARD INDUSTRIAL,Physical Disorder,1,2015,32
FAIRVIEW,Physical Disorder,1,2015,16
RANCHLANDS,Physical Disorder,1,2015,29
SHEPARD INDUSTRIAL,Physical Disorder,1,2015,25
CITADEL,Physical Disorder,1,2015,30
CORAL SPRINGS,Physical Disorder,1,2015,21
FRANKLIN,Physical Disorder,1,2015,31
MILLRISE,Physical Disorder,1,2015,30
ROYAL OAK,Physical Disorder,1,2015,15
SPRINGBANK HILL,Physical Disorder,1,2015,58
BURNS INDUSTRIAL,Physical Disorder,1,2015,14
ELBOW PARK,Physical Disorder,1,2015,20
EVANSTON,Physical Disorder,1,2015,20
HIGHFIELD,Physical Disorder,1,2015,19
WOODBINE,Physical Disorder,1,2015,29
CHINATOWN,Physical Disorder,1,2015,13
HAWKWOOD,Physical Disorder,1,2015,17
EAU CLAIRE,Physical Disorder,1,2015,25
FAIRVIEW INDUSTRIAL,Physical Disorder,1,2015,17
APPLEWOOD PARK,Physical Disorder,1,2015,30
HARVEST HILLS,Physical Disorder,1,2015,23
QUEENSLAND,Physical Disorder,1,2015,19
SILVER SPRINGS,Physical Disorder,1,2015,16
SOUTH AIRWAYS,Physical Disorder,1,2015,23
DOWNTOWN WEST END,Physical Disorder,1,2015,54
HOUNSFIELD HEIGHTS/BRIAR HILL,Physical Disorder,1,2015,30
RICHMOND,Physical Disorder,1,2015,50
CALGARY INTERNATIONAL AIRPORT,Physical Disorder,1,2015,33
ROCKY RIDGE,Physical Disorder,1,2015,19
CAPITOL HILL,Physical Disorder,1,2015,35
HORIZON,Physical Disorder,1,2015,29
RAMSAY,Physical Disorder,1,2015,27
ALYTH/BONNYBROOK,Physical Disorder,1,2015,37
FOOTHILLS,Physical Disorder,1,2015,47
SOMERSET,Physical Disorder,1,2015,18
CRANSTON,Physical Disorder,1,2015,38
HIDDEN VALLEY,Physical Disorder,1,2015,29
SOUTH CALGARY,Physical Disorder,1,2015,33
SOUTHVIEW,Physical Disorder,1,2015,53
WEST HILLHURST,Physical Disorder,1,2015,21
CANYON MEADOWS,Physical Disorder,1,2015,36
CASTLERIDGE,Physical Disorder,1,2015,30
CEDARBRAE,Physical Disorder,1,2015,12
CHAPARRAL,Physical Disorder,1,2015,27
COUNTRY HILLS VILLAGE,Physical Disorder,1,2015,19
VISTA HEIGHTS,Physical Disorder,1,2015,16
HIGHLAND PARK,Physical Disorder,1,2015,33
INGLEWOOD,Physical Disorder,1,2015,47
RIVERBEND,Physical Disorder,1,2015,26
CLIFF BUNGALOW,Physical Disorder,1,2015,43
DOWNTOWN EAST VILLAGE,Physical Disorder,1,2015,29
ROSSCARROCK,Physical Disorder,1,2015,32
TUSCANY,Physical Disorder,1,2015,40
WINDSOR PARK,Physical Disorder,1,2015,24
BRENTWOOD,Physical Disorder,1,2015,52
WOODLANDS,Physical Disorder,1,2015,25
BRIDLEWOOD,Physical Disorder,1,2015,30
COVENTRY HILLS,Physical Disorder,1,2015,49
FOREST LAWN INDUSTRIAL,Physical Disorder,1,2015,28
EDGEMONT,Physical Disorder,1,2015,36
GLENBROOK,Physical Disorder,1,2015,22
TUXEDO PARK,Physical Disorder,1,2015,52
MOUNT PLEASANT,Physical Disorder,1,2015,45
SUNDANCE,Physical Disorder,1,2015,27
KINGSLAND,Physical Disorder,1,2015,41
MCKENZIE LAKE,Physical Disorder,1,2015,42
DOUGLASDALE/GLEN,Physical Disorder,1,2015,34
ERIN WOODS,Physical Disorder,1,2015,46
MIDNAPORE,Physical Disorder,1,2015,30
VARSITY,Physical Disorder,1,2015,46
PANORAMA HILLS,Physical Disorder,1,2015,37
WINSTON HEIGHTS/MOUNTVIEW,Physical Disorder,1,2015,48
ALTADORE,Physical Disorder,1,2015,36
BANFF TRAIL,Physical Disorder,1,2015,27
BRAESIDE,Physical Disorder,1,2015,28
GLAMORGAN,Physical Disorder,1,2015,25
HAYSBORO,Physical Disorder,1,2015,41
KILLARNEY/GLENGARRY,Physical Disorder,1,2015,64
SOUTHWOOD,Physical Disorder,1,2015,62
ABBEYDALE,Physical Disorder,1,2015,37
RENFREW,Physical Disorder,1,2015,55
SUNALTA,Physical Disorder,1,2015,94
BANKVIEW,Physical Disorder,1,2015,80
EVERGREEN,Physical Disorder,1,2015,37
MAYLAND HEIGHTS,Physical Disorder,1,2015,41
SADDLE RIDGE,Physical Disorder,1,2015,47
SIGNAL HILL,Physical Disorder,1,2015,48
SUNRIDGE,Physical Disorder,1,2015,58
LAKE BONAVISTA,Physical Disorder,1,2015,31
MONTEREY PARK,Physical Disorder,1,2015,46
WILLOW PARK,Physical Disorder,1,2015,36
DALHOUSIE,Physical Disorder,1,2015,40
MONTGOMERY,Physical Disorder,1,2015,42
SUNNYSIDE,Physical Disorder,1,2015,54
MISSION,Physical Disorder,1,2015,57
LOWER MOUNT ROYAL,Physical Disorder,1,2015,66
TEMPLE,Physical Disorder,1,2015,91
ARBOUR LAKE,Physical Disorder,1,2015,45
OGDEN,Physical Disorder,1,2015,58
CRESCENT HEIGHTS,Physical Disorder,1,2015,105
BEDDINGTON HEIGHTS,Physical Disorder,1,2015,41
MANCHESTER INDUSTRIAL,Physical Disorder,1,2015,88
MCKENZIE TOWNE,Physical Disorder,1,2015,70
THORNCLIFFE,Physical Disorder,1,2015,54
MARTINDALE,Physical Disorder,1,2015,61
FOREST HEIGHTS,Physical Disorder,1,2015,69
HILLHURST,Physical Disorder,1,2015,69
ALBERT PARK/RADISSON HEIGHTS,Physical Disorder,1,2015,78
SHAWNESSY,Physical Disorder,1,2015,68
MARLBOROUGH,Physical Disorder,1,2015,78
TARADALE,Physical Disorder,1,2015,54
WHITEHORN,Physical Disorder,1,2015,69
BRIDGELAND/RIVERSIDE,Physical Disorder,1,2015,78
ACADIA,Physical Disorder,1,2015,64
PENBROOKE MEADOWS,Physical Disorder,1,2015,91
MARLBOROUGH PARK,Physical Disorder,1,2015,73
HUNTINGTON HILLS,Physical Disorder,1,2015,73
FALCONRIDGE,Physical Disorder,1,2015,102
RUNDLE,Physical Disorder,1,2015,102
PINERIDGE,Physical Disorder,1,2015,77
BOWNESS,Physical Disorder,1,2015,101
DOVER,Physical Disorder,1,2015,128
FOREST LAWN,Physical Disorder,1,2015,176
DOWNTOWN COMMERCIAL CORE,Physical Disorder,1,2015,274
BELTLINE,Physical Disorder,1,2015,571
PEGASUS,Residential Break & Enter,1,2015,1
POINT MCKAY,Residential Break & Enter,1,2015,4
QUEENS PARK VILLAGE,Residential Break & Enter,1,2015,1
REDSTONE,Residential Break & Enter,1,2015,5
SADDLE RIDGE INDUSTRIAL,Residential Break & Enter,1,2015,1
SECTION 23,Residential Break & Enter,1,2015,0
SHERWOOD,Residential Break & Enter,1,2015,0
SKYLINE EAST,Residential Break & Enter,1,2015,0
SOUTH FOOTHILLS,Residential Break & Enter,1,2015,0
STONEGATE LANDING,Residential Break & Enter,1,2015,0
STONEY 2,Residential Break & Enter,1,2015,1
VALLEYFIELD,Residential Break & Enter,1,2015,0
WALDEN,Residential Break & Enter,1,2015,4
WESTWINDS,Residential Break & Enter,1,2015,0
SOUTH AIRWAYS,Residential Break & Enter,1,2015,1
STARFIELD,Residential Break & Enter,1,2015,0
SUNRIDGE,Residential Break & Enter,1,2015,1
UNIVERSITY OF CALGARY,Residential Break & Enter,1,2015,1
RIDEAU PARK,Residential Break & Enter,1,2015,5
SHEPARD INDUSTRIAL,Residential Break & Enter,1,2015,0
STONEY 4,Residential Break & Enter,1,2015,0
RUTLAND PARK,Residential Break & Enter,1,2015,12
SCARBORO/ SUNALTA WEST,Residential Break & Enter,1,2015,4
PATTERSON,Residential Break & Enter,1,2015,8
VALLEY RIDGE,Residential Break & Enter,1,2015,19
PUMP HILL,Residential Break & Enter,1,2015,13
RED CARPET,Residential Break & Enter,1,2015,9
SHAWNEE SLOPES,Residential Break & Enter,1,2015,9
SKYVIEW RANCH,Residential Break & Enter,1,2015,28
ROSEDALE,Residential Break & Enter,1,2015,24
ROXBORO,Residential Break & Enter,1,2015,9
ST. ANDREWS HEIGHTS,Residential Break & Enter,1,2015,12
UNIVERSITY HEIGHTS,Residential Break & Enter,1,2015,5
QUEENSLAND,Residential Break & Enter,1,2015,16
ROSEMONT,Residential Break & Enter,1,2015,14
SCARBORO,Residential Break & Enter,1,2015,13
SPRUCE CLIFF,Residential Break & Enter,1,2015,12
SAGE HILL,Residential Break & Enter,1,2015,12
SHAGANAPPI,Residential Break & Enter,1,2015,22
WILDWOOD,Residential Break & Enter,1,2015,25
ROCKY RIDGE,Residential Break & Enter,1,2015,19
SILVERADO,Residential Break & Enter,1,2015,20
RAMSAY,Residential Break & Enter,1,2015,25
RANCHLANDS,Residential Break & Enter,1,2015,23
VISTA HEIGHTS,Residential Break & Enter,1,2015,5
WESTGATE,Residential Break & Enter,1,2015,13
RICHMOND,Residential Break & Enter,1,2015,41
ROYAL OAK,Residential Break & Enter,1,2015,37
SILVER SPRINGS,Residential Break & Enter,1,2015,29
SUNALTA,Residential Break & Enter,1,2015,24
WINSTON HEIGHTS/MOUNTVIEW,Residential Break & Enter,1,2015,41
STRATHCONA PARK,Residential Break & Enter,1,2015,20
SUNDANCE,Residential Break & Enter,1,2015,22
WEST SPRINGS,Residential Break & Enter,1,2015,18
WILLOW PARK,Residential Break & Enter,1,2015,42
WINDSOR PARK,Residential Break & Enter,1,2015,19
SANDSTONE VALLEY,Residential Break & Enter,1,2015,23
WOODLANDS,Residential Break & Enter,1,2015,17
ROSSCARROCK,Residential Break & Enter,1,2015,12
WEST HILLHURST,Residential Break & Enter,1,2015,61
RENFREW,Residential Break & Enter,1,2015,47
SADDLE RIDGE,Residential Break & Enter,1,2015,29
SOUTHVIEW,Residential Break & Enter,1,2015,26
UPPER MOUNT ROYAL,Residential Break & Enter,1,2015,21
SIGNAL HILL,Residential Break & Enter,1,2015,34
SPRINGBANK HILL,Residential Break & Enter,1,2015,28
RIVERBEND,Residential Break & Enter,1,2015,31
SOMERSET,Residential Break & Enter,1,2015,24
SCENIC ACRES,Residential Break & Enter,1,2015,26
SOUTH CALGARY,Residential Break & Enter,1,2015,37
SUNNYSIDE,Residential Break & Enter,1,2015,26
VARSITY,Residential Break & Enter,1,2015,57
TUXEDO PARK,Residential Break & Enter,1,2015,30
WOODBINE,Residential Break & Enter,1,2015,34
SOUTHWOOD,Residential Break & Enter,1,2015,31
SHAWNESSY,Residential Break & Enter,1,2015,38
TUSCANY,Residential Break & Enter,1,2015,61
PINERIDGE,Residential Break & Enter,1,2015,61
THORNCLIFFE,Residential Break & Enter,1,2015,59
TEMPLE,Residential Break & Enter,1,2015,74
RUNDLE,Residential Break & Enter,1,2015,76
TARADALE,Residential Break & Enter,1,2015,29
PENBROOKE MEADOWS,Residential Break & Enter,1,2015,69
WHITEHORN,Residential Break & Enter,1,2015,76
CARRINGTON,Social Disorder,1,2015,13
PEGASUS,Social Disorder,1,2015,15
STONEY 3,Social Disorder,1,2015,2
LIVINGSTON,Social Disorder,1,2015,5
OGDEN SHOPS,Social Disorder,1,2015,9
STONEGATE LANDING,Social Disorder,1,2015,5
SECTION 23,Social Disorder,1,2015,35
CITYSCAPE,Social Disorder,1,2015,19
LEGACY,Social Disorder,1,2015,52
DIAMOND COVE,Social Disorder,1,2015,26
NOLAN HILL,Social Disorder,1,2015,48
NORTH HAVEN UPPER,Social Disorder,1,2015,31
GOLDEN TRIANGLE,Social Disorder,1,2015,13
MAYFAIR,Social Disorder,1,2015,21
BEL-AIRE,Social Disorder,1,2015,13
GLENDEER BUSINESS PARK,Social Disorder,1,2015,35
CANADA OLYMPIC PARK,Social Disorder,1,2015,17
EASTFIELD,Social Disorder,1,2015,25
SKYLINE EAST,Social Disorder,1,2015,16
REDSTONE,Social Disorder,1,2015,50
RIDEAU PARK,Social Disorder,1,2015,43
CFB - CURRIE,Social Disorder,1,2015,18
ROXBORO,Social Disorder,1,2015,20
AURORA BUSINESS PARK,Social Disorder,1,2015,26
GREAT PLAINS,Social Disorder,1,2015,69
BRITANNIA,Social Disorder,1,2015,39
CRESTMONT,Social Disorder,1,2015,38
SETON,Social Disorder,1,2015,87
SADDLE RIDGE INDUSTRIAL,Social Disorder,1,2015,28
STONEY 1,Social Disorder,1,2015,47
STARFIELD,Social Disorder,1,2015,17
QUEENS PARK VILLAGE,Social Disorder,1,2015,28
STONEY 4,Social Disorder,1,2015,38
CHINOOK PARK,Social Disorder,1,2015,42
POINT MCKAY,Social Disorder,1,2015,27
SOUTH FOOTHILLS,Social Disorder,1,2015,44
STONEY 2,Social Disorder,1,2015,61
BONAVISTA DOWNS,Social Disorder,1,2015,48
FISH CREEK PARK,Social Disorder,1,2015,64
PUMP HILL,Social Disorder,1,2015,40
SCARBORO/ SUNALTA WEST,Social Disorder,1,2015,60
MAHOGANY,Social Disorder,1,2015,141
SHAWNEE SLOPES,Social Disorder,1,2015,57
ROSEMONT,Social Disorder,1,2015,40
COACH HILL,Social Disorder,1,2015,74
ROYAL VISTA,Social Disorder,1,2015,104
NOSE HILL PARK,Social Disorder,1,2015,66
ROSEDALE,Social Disorder,1,2015,95
BAYVIEW,Social Disorder,1,2015,51
GREENWOOD/GREENBRIAR,Social Disorder,1,2015,51
SCARBORO,Social Disorder,1,2015,54
DEERFOOT BUSINESS CENTRE,Social Disorder,1,2015,84
WALDEN,Social Disorder,1,2015,114
MAYLAND,Social Disorder,1,2015,80
CHRISTIE PARK,Social Disorder,1,2015,55
HAMPTONS,Social Disorder,1,2015,71
NORTH AIRWAYS,Social Disorder,1,2015,57
SAGE HILL,Social Disorder,1,2015,95
MCCALL,Social Disorder,1,2015,61
CFB - LINCOLN PARK PMQ,Social Disorder,1,2015,40
SKYLINE WEST,Social Disorder,1,2015,46
PATTERSON,Social Disorder,1,2015,91
SHERWOOD,Social Disorder,1,2015,117
EAGLE RIDGE,Social Disorder,1,2015,132
CAMBRIAN HEIGHTS,Social Disorder,1,2015,82
KELVIN GROVE,Social Disorder,1,2015,144
GLENMORE PARK,Social Disorder,1,2015,81
HIGHFIELD,Social Disorder,1,2015,94
BURNS INDUSTRIAL,Social Disorder,1,2015,90
KINCORA,Social Disorder,1,2015,87
PALLISER,Social Disorder,1,2015,108
PARKDALE,Social Disorder,1,2015,99
ELBOYA,Social Disorder,1,2015,104
PARKLAND,Social Disorder,1,2015,112
RUTLAND PARK,Social Disorder,1,2015,107
CHARLESWOOD,Social Disorder,1,2015,103
COUNTRY HILLS,Social Disorder,1,2015,92
NORTH GLENMORE PARK,Social Disorder,1,2015,150
HIGHWOOD,Social Disorder,1,2015,131
WESTGATE,Social Disorder,1,2015,119
UPPER MOUNT ROYAL,Social Disorder,1,2015,166
MACEWAN GLEN,Social Disorder,1,2015,122
COLLINGWOOD,Social Disorder,1,2015,101
FAIRVIEW INDUSTRIAL,Social Disorder,1,2015,144
NORTH HAVEN,Social Disorder,1,2015,86
ALYTH/BONNYBROOK,Social Disorder,1,2015,141
EAST SHEPARD INDUSTRIAL,Social Disorder,1,2015,175
GREENVIEW INDUSTRIAL PARK,Social Disorder,1,2015,102
VALLEYFIELD,Social Disorder,1,2015,95
VALLEY RIDGE,Social Disorder,1,2015,108
EAST FAIRVIEW INDUSTRIAL,Social Disorder,1,2015,192
MAPLE RIDGE,Social Disorder,1,2015,121
CALGARY INTERNATIONAL AIRPORT,Social Disorder,1,2015,157
ELBOW PARK,Social Disorder,1,2015,126
LINCOLN PARK,Social Disorder,1,2015,139
WILDWOOD,Social Disorder,1,2015,101
CHINATOWN,Social Disorder,1,2015,164
DEER RUN,Social Disorder,1,2015,168
SANDSTONE VALLEY,Social Disorder,1,2015,209
ASPEN WOODS,Social Disorder,1,2015,172
MANCHESTER,Social Disorder,1,2015,231
SILVERADO,Social Disorder,1,2015,161
SOUTH AIRWAYS,Social Disorder,1,2015,166
RED CARPET,Social Disorder,1,2015,144
UNIVERSITY HEIGHTS,Social Disorder,1,2015,137
STRATHCONA PARK,Social Disorder,1,2015,147
SHEPARD INDUSTRIAL,Social Disorder,1,2015,146
DISCOVERY RIDGE,Social Disorder,1,2015,95
COUGAR RIDGE,Social Disorder,1,2015,102
LAKEVIEW,Social Disorder,1,2015,133
SKYVIEW RANCH,Social Disorder,1,2015,230
WEST SPRINGS,Social Disorder,1,2015,199
UNIVERSITY OF CALGARY,Social Disorder,1,2015,129
